,rf,rs,test-f1,train-f1,abs_diff
sim_62,0.4306362203948221,0.46137378192177614,0.10554870530209619,0.72695500218436,0.6214062968822639
sim_70,0.5316776295802137,0.24176844029019184,0.10195496164315763,0.3958161299201763,0.29386116827701864
sim_55,0.5392289695335801,0.2183294244737466,0.09823865045894319,0.3438476840011367,0.2456090335421935
sim_15,0.3647480170163525,0.9470828683608788,0.0958971824023727,0.9984538739048274,0.9025566915024548
sim_69,0.45508763110162875,0.24493594863787782,0.09545115585384042,0.3675070028011205,0.27205584694728
sim_83,0.741090935204026,0.12311012074711813,0.07386934673366834,0.14915899714376385,0.07528965041009551
sim_65,0.3859457446783934,0.4874633418019124,0.07385079125847777,0.7540633019674936,0.6802125107090158
sim_10,0.39234845730457923,0.5537162072453077,0.07230730605071554,0.8483890096857086,0.7760817036349931
sim_18,0.4388076750152675,0.3371991868998233,0.06804435483870969,0.5953241744998795,0.5272798196611699
sim_39,0.29112259541214613,0.770878670559525,0.06745532343317392,0.9876671877714088,0.9202118643382349
sim_45,0.35253778373634204,0.7774354033838606,0.06698564593301434,0.9895941727367327,0.9226085268037183
sim_91,0.44069493033653573,0.20850473511593526,0.06417382516422436,0.30523255813953487,0.2410587329753105
sim_87,0.37597247970826164,0.44568246086100194,0.058213110604910155,0.7034482758620689,0.6452351652571587
sim_13,0.30613037767123163,0.9417022526612132,0.05759030058095479,0.9984528107271788,0.940862510146224
sim_98,0.953724605925139,0.08579218237724384,0.04444444444444444,0.0947402809539366,0.05029583650949217
sim_99,0.28729889072458803,0.987662372072601,0.04182606477939301,0.9991413360810578,0.9573152713016648
sim_6,0.48320859800567173,0.10125885039758498,0.036391594054331115,0.0865857658248606,0.05019417177052949
sim_33,0.2679013266281638,0.9765208483066053,0.031266017426960536,0.9991410410582373,0.9678750236312768
sim_32,0.2719053791425612,0.7480899609261937,0.029290853031860232,0.9843096234309624,0.9550187703991022
sim_82,0.29721764317647914,0.6634638299318503,0.023711340206185566,0.945158371040724,0.9214470308345384
sim_40,0.2797235739460616,0.18419831183764346,0.01965347814843548,0.23018524142119645,0.21053176327276096
sim_4,0.4744589298228431,0.09608344525062029,0.019156096298213823,0.06955945677376615,0.05040336047555233
sim_93,0.6806776848168847,0.06784916711963163,0.017080745341614904,0.049531459170013385,0.03245071382839848
sim_49,0.2778933425047051,0.4291398905837779,0.015560165975103733,0.662534435261708,0.6469742692866043
